CSD,1_Cumulative_WFS_PM25,2_WFS_Fraction,3_Average_WFS_PM25,4_Any_WFS,5_WFS_PM25_exceeds_5,6_Total_PM25_exceeds_25,7_WFS_Episodes,8_Severe_Episodes,9_Longest_Episode,10_Worst_Episode,11_WFS_from_Severe_Episodes,12_Average_Recovery,Cumulative_Total_PM25,Average_Total_PM25,Cumulative_NonWFS_PM25,Average_NonWFS_PM25,Counterfactual_Value
5915004,2.52,6.68,11.99,30,19,5,9,2,8,42.27,41.2,69.4,35.16,7.37,37.68,6.88,6.77
5915007,2.39,6.36,13.12,26,18,5,8,2,7,43.95,44.8,78,35.14,7.36,37.53,6.89,6.81
5915011,2.13,5.75,13.21,23,16,4,7,2,7,42.3,46.6,87.38,34.86,7.25,36.99,6.84,6.71
5915015,2.17,5.86,12.93,24,15,5,7,2,7,41.83,46.3,87.75,34.9,7.25,37.07,6.83,6.71
5915020,2.76,7.34,12.72,31,20,7,8,2,7,28.95,40.6,77,34.87,7.36,37.63,6.82,6.79
5915022,2.48,6.61,12.63,28,17,6,7,2,8,22.16,43.3,86.88,34.98,7.33,37.46,6.85,6.79
5915025,2.47,6.59,11.77,30,16,5,8,2,8,21.74,42.4,76.44,35.02,7.34,37.49,6.85,6.78
5915029,2.26,6.04,11.94,27,17,5,8,2,8,38.5,41.6,77.11,35.09,7.31,37.35,6.87,6.77
5915034,2.72,7.21,11.76,33,19,7,9,2,13,28.43,39.1,68.5,34.97,7.37,37.69,6.84,6.76
5915036,2.98,7.93,11.5,37,21,8,9,2,13,27.72,37.5,67.7,34.6,7.37,37.57,6.78,6.71
5915038,2.92,7.75,11.64,36,21,8,9,2,13,28.58,38.8,67.1,34.76,7.39,37.69,6.82,6.74
5915039,2.93,7.79,10.8,39,22,9,10,2,13,22.66,39.1,61.18,34.76,7.39,37.69,6.81,6.77
5915043,2.85,7.57,11.97,34,19,8,9,2,13,28.8,39.3,68,34.8,7.38,37.65,6.82,6.73
5915046,2.88,7.68,11.45,36,21,7,8,2,7,27.84,38.5,76.67,34.67,7.35,37.56,6.79,6.71
5915051,2.77,7.41,11.64,34,19,7,8,2,7,27.48,39,76.89,34.62,7.32,37.4,6.78,6.73
5915055,2.77,7.41,11.62,34,19,7,8,2,7,28.63,40.7,77,34.54,7.3,37.31,6.76,6.75
5915062,2.83,7.55,12.63,32,19,7,9,2,8,29.08,40.3,69.1,34.67,7.34,37.5,6.79,6.74
5915065,2.77,7.41,13.21,30,19,7,7,2,7,29.02,39.2,87.25,34.63,7.32,37.4,6.78,6.75
5915070,2.76,7.29,11.61,34,23,6,9,2,13,23.41,40.4,68.3,35.17,7.42,37.93,6.88,6.83
5915075,2.8,7.36,12.11,33,22,7,8,2,8,23.86,41,76.67,35.24,7.44,38.04,6.9,6.84
5915801,2.68,7.1,11.96,32,22,5,8,2,8,25.48,43.6,77.22,35.04,7.4,37.72,6.87,6.82
5915802,1.99,5.45,13.54,21,15,5,7,2,7,40.9,49.6,87.75,34.56,7.17,36.55,6.78,6.6
5915803,2.28,6.1,13.04,25,15,5,8,2,6,41.99,44.2,77.89,35.16,7.33,37.44,6.88,6.79
5915805,2.79,7.36,12.13,33,25,6,8,2,9,24.28,41.3,76.67,35.14,7.43,37.93,6.89,6.81
5915806,2.96,7.84,11.12,38,20,8,8,2,7,27.56,38.7,76.44,34.76,7.38,37.72,6.81,6.76
5915807,2.78,7.44,11.66,34,19,7,8,2,7,27.51,39,76.89,34.54,7.32,37.31,6.77,6.71
5915808,2.71,7.24,11.72,33,20,7,8,2,7,28.05,41,77,34.68,7.32,37.39,6.79,6.75
5915809,2.77,7.3,11.36,35,23,5,9,2,13,23.44,40.3,68.2,35.11,7.42,37.88,6.88,6.84
5915810,2.02,5.52,13.75,21,14,5,7,2,6,39.44,47.9,88.25,34.59,7.18,36.61,6.78,6.6
5915811,2.89,7.68,11.49,36,19,8,8,2,7,27.27,39.1,76.67,34.79,7.38,37.68,6.81,6.75
