CSD,1_Cumulative_WFS_PM25,2_WFS_Fraction,3_Average_WFS_PM25,4_Any_WFS,5_WFS_PM25_exceeds_5,6_Total_PM25_exceeds_25,7_WFS_Episodes,8_Severe_Episodes,9_Longest_Episode,10_Worst_Episode,11_WFS_from_Severe_Episodes,12_Average_Recovery,Cumulative_Total_PM25,Average_Total_PM25,Cumulative_NonWFS_PM25,Average_NonWFS_PM25,Counterfactual_Value
5929026,2.86,7.51,12.36,33,20,9,8,1,12,21.71,25.5,76.67,35.17,7.45,38.02,6.89,6.81
5929028,2.81,7.38,13.38,30,20,8,8,3,12,22.61,62.1,76.67,35.26,7.45,38.07,6.9,6.86
5929803,2.86,7.55,12.4,33,18,7,8,2,12,21.19,48.9,76.67,35.08,7.44,37.95,6.88,6.84
5931006,3.13,8.27,12.07,37,20,8,8,3,8,36.43,43.7,76.33,34.65,7.39,37.78,6.78,6.77
5931012,3.59,9.66,21.37,24,22,9,7,4,6,47.79,68.4,87.75,33.57,7.29,37.16,6.58,6.54
5931017,3.84,10.2,18.29,30,24,9,8,4,9,46.81,65.8,76.78,33.8,7.37,37.65,6.62,6.63
5931020,3.51,9.64,18.58,27,20,8,7,4,9,52.06,69.4,86.5,32.91,7.14,36.42,6.45,6.48
5931021,3.03,8.09,13.51,32,20,8,7,3,8,25.92,59.1,87.25,34.39,7.32,37.42,6.73,6.68
5931026,7.11,16.74,19.17,53,44,22,8,5,11,36.82,81.7,75,35.38,8.32,42.49,6.92,6.87
5931032,6.27,15.26,18.65,48,42,18,7,3,11,33.75,47.3,85.12,34.81,8.04,41.08,6.81,6.8
5931034,6.45,15.6,19.2,48,43,19,8,5,11,34.08,82.2,74.78,34.9,8.09,41.35,6.83,6.85
5931801,3.14,8.62,15.48,29,19,8,7,4,8,46.39,69.2,87.25,33.32,7.15,36.47,6.53,6.52
5931802,3.28,8.98,14.21,33,21,9,7,4,11,48.67,69,86.12,33.28,7.17,36.56,6.53,6.52
5931806,3.28,8.98,14.21,33,21,9,7,4,11,48.67,69,86.12,33.28,7.17,36.56,6.53,6.52
5931807,3.21,8.4,11.46,40,23,9,8,2,11,25.2,33.8,75.44,34.99,7.47,38.19,6.85,6.77
5931808,3.28,8.98,14.21,33,21,9,7,4,11,48.67,69,86.12,33.28,7.17,36.56,6.53,6.52
5931809,3.21,8.4,11.46,40,23,9,8,2,11,25.2,33.8,75.44,34.99,7.47,38.19,6.85,6.77
5931812,3.9,10.83,19.97,28,25,8,7,4,8,49.35,66,87.38,32.09,7.33,35.99,6.56,6.09
5931813,7.68,18.1,18.91,58,50,24,9,4,13,34.55,75.6,66.8,34.74,8.3,42.42,6.8,6.72
5931814,7.06,16.63,19.02,53,45,22,8,5,11,36.56,81.5,75,35.37,8.3,42.43,6.92,6.87
5931815,7.16,16.84,18.95,54,47,24,8,5,11,33.1,82.3,74.78,35.36,8.32,42.52,6.92,6.82
5931816,7.94,18.61,18.89,60,50,25,9,4,13,35.93,76.3,66.5,34.69,8.34,42.63,6.79,6.67
5931817,7.94,18.64,19.23,59,52,25,9,4,13,37.38,76.5,66.5,34.66,8.34,42.61,6.78,6.68
5931818,7.13,16.78,19.23,53,46,22,8,5,11,36.65,81.5,74.78,35.38,8.32,42.52,6.92,6.85
5931820,7.25,17.01,19.92,52,48,24,7,5,11,33.7,82.6,84.88,35.37,8.34,42.62,6.92,6.83
5931821,7,16.53,18.87,53,44,21,8,5,11,36.24,81.3,75,35.37,8.29,42.37,6.92,6.86
5931823,7.07,16.65,18.69,54,42,22,8,5,11,32.68,82,74.78,35.37,8.3,42.43,6.92,6.85
5931826,6.17,15.8,19.57,45,42,18,8,4,11,44.45,53,75.78,32.86,7.92,39.03,6.71,6.28
5931827,6.92,16.35,18.64,53,45,21,9,5,11,32.49,84,67.5,35.37,8.28,42.29,6.92,6.81
5931828,6.98,16.5,18.48,54,43,22,8,5,13,35.71,81.6,74.67,35.35,8.28,42.33,6.92,6.86
5931829,7.91,18.59,18.83,60,51,22,9,5,13,35.35,81.6,66.5,34.64,8.33,42.54,6.78,6.69
5931831,6.18,15.08,21.01,42,39,18,8,6,10,37.51,87.4,76.22,34.8,8.02,40.98,6.81,6.78
5931832,7.03,16.58,18.96,53,47,21,8,5,11,32.09,83,75,35.39,8.3,42.42,6.93,6.83
5931833,6.17,15.8,19.57,45,42,18,8,4,11,44.45,53,75.78,32.86,7.92,39.03,6.71,6.28
5931842,7.94,18.61,18.89,60,50,25,9,4,13,35.93,76.3,66.5,34.69,8.34,42.63,6.79,6.67
5931843,3.89,10.84,18.64,30,24,8,8,4,8,47.02,65.9,77.44,32.05,7.32,35.94,6.56,6.08
5931844,4.81,12.88,19.1,36,32,9,8,4,10,46.55,58.5,76.22,32.57,7.6,37.39,6.65,6.2
5933006,7.68,18.63,16.87,65,53,16,9,5,12,28.01,80.5,65.6,33.52,8.06,41.19,6.56,6.46
5933008,7.97,19.05,16.99,67,53,19,10,5,12,30.13,80.5,59.64,33.85,8.18,41.82,6.62,6.55
5933012,7.1,17.46,15.85,64,50,13,9,5,12,27.08,79.7,65.7,33.56,7.96,40.66,6.57,6.45
5933015,6.09,15.08,16.12,54,43,14,7,3,12,31.28,48.5,84.75,34.3,7.91,40.4,6.71,6.66
5933019,8.15,19.03,19.74,59,53,22,9,5,13,34.2,80.6,66.3,34.68,8.38,42.83,6.79,6.63
5933024,8.31,19.46,19.77,60,53,24,9,5,13,34.1,80.9,66.6,34.38,8.35,42.68,6.73,6.6
5933028,7.73,18.13,19.03,58,50,24,8,3,13,35.42,61.5,74.33,34.88,8.34,42.61,6.83,6.74
5933032,8.5,19.91,20.23,60,50,25,8,4,18,36.51,80.7,73.78,34.19,8.35,42.68,6.69,6.62
5933035,9.64,21.41,21.51,64,59,24,10,5,13,45.57,80.5,60.36,35.36,8.81,45,6.92,6.84
5933037,7.84,18.45,18.67,60,51,22,9,5,13,30.8,81.9,66.6,34.67,8.32,42.51,6.78,6.69
5933039,9.48,21.06,21.84,62,56,24,9,5,13,43.86,82.3,66.7,35.54,8.81,45.02,6.95,6.89
5933042,10.3,22.27,24.95,59,55,24,10,5,11,48.76,83.6,60.91,35.96,9.05,46.26,7.04,6.92
5933044,10.58,22.32,26.52,57,54,28,10,6,11,49.97,87.5,60.91,36.83,9.28,47.41,7.21,7.07
5933045,10.45,21.98,26.48,57,54,27,10,6,11,49.3,87.3,60.91,37.11,9.34,47.56,7.27,7.15
5933054,10.47,21.96,27.03,56,53,27,10,6,11,50.39,87.7,60.91,37.2,9.36,47.67,7.29,7.15
5933060,10.55,22.4,24.71,61,56,27,10,5,12,53.14,83,60.73,36.54,9.22,47.09,7.15,7.03
5933067,7.73,17.82,18.1,61,54,23,9,5,19,34.47,86.2,66.2,35.65,8.49,43.38,6.98,6.89
5933068,7.35,17.08,18.11,58,52,22,7,4,19,33.57,83.1,83.88,35.7,8.43,43.06,6.99,6.9
5933070,6.01,14.25,15.9,54,47,18,8,2,21,25.28,37.9,74.44,36.17,8.25,42.18,7.08,7.04
5933072,8.74,19.25,21.89,57,54,25,9,5,19,39.84,85.7,66.6,36.64,8.88,45.38,7.17,7.07
5933074,10.41,21.84,25.64,58,54,26,9,5,12,50.02,84.9,67.3,37.24,9.32,47.65,7.29,7.18
5933801,7.74,18.82,16.27,68,52,15,10,5,13,29.04,79,59.27,33.41,8.05,41.15,6.54,6.42
5933802,8.18,19.62,18.54,63,52,18,11,5,13,31.3,82.3,54.92,33.5,8.16,41.68,6.56,6.52
5933805,7.66,18.59,17.1,64,53,17,9,5,12,27.68,80.8,66,33.55,8.06,41.21,6.56,6.47
5933806,8.35,19.95,17.55,68,49,19,10,5,12,29.63,82.3,59.64,33.52,8.19,41.88,6.56,6.43
5933807,7.51,18.33,16.01,67,51,17,10,5,12,28.63,79.8,59.64,33.47,8.02,40.98,6.55,6.46
5933808,6.52,16.1,16.34,57,41,13,8,5,12,27.28,83.9,73.89,33.98,7.93,40.51,6.65,6.58
5933809,6.87,16.86,16.35,60,48,13,8,5,12,29.02,80.8,73.33,33.86,7.97,40.72,6.63,6.53
5933811,7.74,18.77,16.74,66,54,18,10,5,12,28.51,80.2,59.91,33.49,8.07,41.22,6.55,6.43
5933812,8.17,19.19,19.78,59,53,24,8,4,12,33.49,64.7,74.33,34.39,8.33,42.56,6.73,6.6
5933813,6.64,15.8,17.57,54,43,19,7,3,13,31.8,59.9,84.75,35.39,8.23,42.03,6.93,6.88
5933814,9.04,20.95,23.07,56,47,26,8,5,18,42.76,89,74.11,34.12,8.45,43.17,6.68,6.57
5933817,8.34,19.41,19.86,60,49,24,9,5,13,35.6,83.2,66.6,34.64,8.41,42.98,6.78,6.68
5933821,8.95,20.77,22.84,56,47,26,8,4,18,39.97,74.7,74.11,34.15,8.44,43.1,6.68,6.59
5933823,5.88,14.59,16.46,51,40,14,7,3,12,30.79,50.5,84.88,34.4,7.88,40.28,6.73,6.65
5933825,5.88,14.59,16.46,51,40,14,7,3,12,30.79,50.5,84.88,34.4,7.88,40.28,6.73,6.65
5933829,6.12,15.14,15.9,55,43,14,7,3,12,31.56,49.2,84.62,34.31,7.91,40.44,6.72,6.65
5933831,6.45,16.04,15.36,60,47,15,8,5,13,24.27,81.4,74.44,33.75,7.87,40.2,6.61,6.54
5933832,6.28,15.58,15.73,57,46,14,8,4,13,25.16,62.9,74.33,34.01,7.88,40.28,6.65,6.61
5933833,6.48,15.43,18.15,51,43,19,6,3,11,31.42,60.4,97.57,35.51,8.22,41.99,6.95,6.87
5933834,7.69,18.13,18.62,59,52,23,9,5,13,32.23,82.6,66.8,34.71,8.3,42.4,6.79,6.64
5933836,8.25,19.38,19.64,60,53,25,8,5,13,33.89,80.3,74.22,34.31,8.33,42.56,6.71,6.58
5933840,7.01,16.53,18.9,53,43,20,7,5,11,35.27,83.8,84.88,35.42,8.3,42.43,6.93,6.83
5933841,6.74,16.03,17.51,55,45,19,8,3,13,31.45,59.4,75.11,35.31,8.23,42.05,6.91,6.84
5933844,8.16,19.05,19.76,59,53,22,9,5,13,34.33,80.6,66.3,34.69,8.39,42.85,6.79,6.62
5933845,8.16,19.05,19.76,59,53,22,9,5,13,34.33,80.6,66.3,34.69,8.39,42.85,6.79,6.62
5933848,7.01,16.53,18.9,53,43,20,7,5,11,35.27,83.8,84.88,35.42,8.3,42.43,6.93,6.83
5933849,6.2,15.53,15.01,59,46,15,9,5,13,26.66,81.3,66.6,33.72,7.81,39.92,6.6,6.54
5933850,5.99,14.85,16.16,53,41,14,7,3,12,31.18,49.9,84.62,34.36,7.9,40.36,6.72,6.65
5933851,6.41,15.92,15.79,58,44,15,9,5,13,27.82,83.2,67,33.85,7.88,40.26,6.63,6.54
5933852,6.12,15.14,15.9,55,43,14,7,3,12,31.56,49.2,84.62,34.31,7.91,40.44,6.72,6.65
5933853,6.43,15.49,17.68,52,43,18,6,4,11,30.86,64.6,97.57,35.12,8.13,41.55,6.87,6.81
5933854,7.93,18.61,18.58,61,53,21,9,5,13,31.63,81,66.2,34.7,8.34,42.63,6.79,6.68
5933855,6.12,15.14,15.9,55,43,14,7,3,12,31.56,49.2,84.62,34.31,7.91,40.44,6.72,6.65
5933858,6.93,16.38,19.4,51,43,19,7,5,11,33.41,84,85.12,35.36,8.28,42.29,6.92,6.81
5933859,7.57,17.87,18.64,58,48,19,9,5,13,32,82.8,66.6,34.78,8.29,42.35,6.81,6.65
5933861,7.59,17.96,18.08,60,49,18,9,5,13,31.89,82,66.5,34.69,8.27,42.28,6.79,6.62
5933865,5.88,14.59,16.46,51,40,14,7,3,12,30.79,50.5,84.88,34.4,7.88,40.28,6.73,6.65
5933866,5.88,14.59,16.46,51,40,14,7,3,12,30.79,50.5,84.88,34.4,7.88,40.28,6.73,6.65
5933868,6.73,15.97,18.14,53,44,16,7,3,13,35.59,59.9,84.62,35.4,8.24,42.13,6.93,6.82
5933872,8.07,18.84,19.53,59,52,23,8,6,13,32.58,85.7,74.33,34.75,8.38,42.82,6.8,6.72
5933873,6.62,15.74,18.19,52,43,18,7,3,11,33.93,60.1,85.12,35.43,8.23,42.05,6.93,6.86
5933875,7.87,18.46,19.39,58,52,26,8,6,13,32.32,84.8,74.33,34.78,8.35,42.65,6.81,6.74
5933876,7.94,18.62,19.22,59,52,22,9,5,13,32.63,81.3,66.3,34.7,8.34,42.64,6.79,6.65
5933877,10.45,21.91,26.66,56,53,25,9,5,11,48.53,83.9,67.2,37.24,9.33,47.69,7.29,7.15
5933878,6.69,15.9,18.37,52,46,18,7,2,13,32.54,43.4,84.75,35.39,8.23,42.07,6.92,6.83
5933879,6.2,15.53,15.01,59,46,15,9,5,13,26.66,81.3,66.6,33.72,7.81,39.92,6.6,6.54
5933880,10.65,22.67,26.09,59,54,28,10,6,11,50.3,87.5,60.91,36.32,9.23,46.97,7.12,6.98
5933881,7.72,18.22,18.08,61,50,20,8,5,13,29.55,82.6,74.22,34.65,8.29,42.37,6.78,6.61
5933882,5.8,14.54,16.26,51,44,13,7,4,12,31.36,65.4,84.62,34.11,7.81,39.92,6.68,6.62
5933884,10.55,22.12,26.77,57,54,27,10,6,11,49.92,87.4,60.91,37.16,9.37,47.71,7.28,7.15
5933887,8.07,18.36,19.54,59,51,22,9,5,19,39.59,85.6,66.1,35.87,8.6,43.94,7.02,6.92
5933888,10.12,21.37,24.93,58,57,25,9,6,11,49.68,88.3,67,37.24,9.27,47.36,7.29,7.19
5933889,10.34,21.76,25.91,57,54,26,10,6,12,48.67,87.6,60.45,37.16,9.3,47.5,7.27,7.14
5933895,7.72,18.22,18.08,61,50,20,8,5,13,29.55,82.6,74.22,34.65,8.29,42.37,6.78,6.61
5933898,10.67,22.22,26.27,58,55,27,10,6,12,47.85,88.1,60.73,37.34,9.39,48.01,7.31,7.19
5935010,8.23,19.12,23.99,49,47,17,9,6,11,36.37,90.4,67.3,34.82,8.42,43.05,6.81,6.78
5935012,8.19,18.98,23.39,50,48,17,10,6,11,35.79,89.1,61.09,34.94,8.44,43.13,6.84,6.79
5935016,8.63,19.79,24.17,51,49,17,11,6,11,39.98,89.6,55.75,34.98,8.53,43.61,6.84,6.79
5935018,8.47,20.3,20.16,60,47,16,9,6,12,50.27,89,66.7,33.25,8.16,41.71,6.51,6.5
5935020,8.54,19.81,23.47,52,50,17,10,6,11,41.11,89.6,60.91,34.58,8.44,43.12,6.77,6.74
5935029,8.58,19.84,24.02,51,50,18,9,6,11,41.42,90.2,67.1,34.64,8.46,43.22,6.78,6.78
5935801,8.29,19.2,24.18,49,47,16,9,6,11,41.9,90.4,67.6,34.91,8.46,43.21,6.84,6.8
5935802,8.72,20.13,23.96,52,50,18,9,6,11,41.67,90.1,67.1,34.59,8.48,43.31,6.77,6.76
5935803,8.48,19.72,23.3,52,48,17,9,6,11,42.11,89.7,67.1,34.54,8.42,43.02,6.76,6.73
5937005,9.18,20.75,20.14,66,57,18,12,6,12,36.95,85.5,51.08,35.04,8.69,44.21,6.87,6.9
5937010,8.81,19.97,24.04,53,49,18,11,6,11,40.78,88.7,55.83,35.32,8.67,44.13,6.93,6.87
5937014,8.8,19.81,24,53,49,19,11,6,11,40.74,88.5,55.83,35.6,8.72,44.4,6.98,6.92
5937017,8.98,19.8,24.48,53,50,19,10,6,12,42.28,89,61,36.35,8.91,45.33,7.13,7.05
5937021,8.8,19.45,24.96,51,50,19,10,6,11,67.34,88.8,61.18,36.45,8.89,45.26,7.15,7.05
5937022,9.1,20.29,21.68,60,53,18,11,6,11,37.68,86.6,55.58,35.77,8.78,44.88,7,6.98
5937023,8.9,20.08,21.19,60,54,18,11,6,11,37.16,86.3,55.58,35.41,8.67,44.3,6.93,6.92
5937024,8.94,19.69,25.33,51,51,19,10,6,12,66.1,88.8,61.09,36.45,8.92,45.39,7.15,7.05
5937028,8.95,19.7,25.89,50,50,19,10,6,12,67.83,88.8,61.18,36.47,8.92,45.42,7.15,7.05
5937033,8.89,19.63,24.25,53,52,19,10,6,12,41.54,88.2,60.91,36.39,8.9,45.28,7.14,7.05
5937041,9.06,19.9,23.54,55,50,18,10,6,12,42.11,87.2,60.82,36.48,8.91,45.55,7.14,7.03
5937801,8.93,19.84,23.91,54,51,19,11,6,12,41.46,88.7,55.75,36.07,8.84,44.99,7.07,7.04
5937802,8.93,19.71,24.35,53,52,19,10,6,12,42.07,88.2,60.91,36.36,8.9,45.29,7.13,7.03
5937803,8.7,19.88,22.91,55,50,18,11,6,11,39.7,88.1,55.67,35.05,8.6,43.75,6.87,6.83
5937805,8.88,19.59,25.18,51,50,19,10,6,12,69.67,88.6,61.09,36.46,8.91,45.34,7.15,7.05
5939007,6.53,14.39,15.04,62,47,19,10,4,13,25.97,69.7,60.09,38.82,8.87,45.35,7.6,7.39
5939011,6.34,14.21,14.37,63,50,19,9,4,12,23.28,70.1,66.2,38.28,8.73,44.62,7.49,7.38
5939019,6.88,15.9,18.21,54,46,17,9,3,11,31.66,63.2,66.4,36.4,8.49,43.28,7.14,7.12
5939023,6.72,15.54,17.77,54,47,17,9,3,11,29.71,62.5,66.3,36.51,8.46,43.23,7.15,7.13
5939032,9.15,19.91,24.21,54,52,19,10,6,12,63.46,87.5,60.91,36.8,8.99,45.96,7.2,7.13
5939037,9.37,19.56,22.69,59,55,23,8,4,12,46.2,82.2,74.11,38.54,9.38,47.91,7.54,7.42
5939039,9.23,20.16,24.88,53,53,20,10,6,12,67.64,87.8,60.91,36.57,8.96,45.8,7.16,7.07
5939043,7.73,17.18,19.38,57,53,19,10,5,11,39.73,83.2,60.09,37.28,8.81,45.01,7.29,7.16
5939044,8.98,18.99,21.39,60,54,22,9,4,12,43.45,81.2,66.3,38.31,9.25,47.29,7.5,7.38
5939045,7.72,17.13,19.35,57,51,18,9,5,11,41.57,83.7,66.7,37.35,8.82,45.07,7.31,7.19
5939801,9.48,19.68,24.64,55,51,23,8,4,10,46.67,84.3,74.56,38.71,9.43,48.2,7.58,7.42
5939802,9.55,19.83,23.94,57,52,23,8,4,10,51.72,83.4,74.89,38.62,9.43,48.17,7.56,7.41
5939803,9.49,19.72,23.77,57,54,23,8,4,12,47.15,82.5,74.67,38.61,9.41,48.09,7.56,7.43
5939804,9.1,19.97,25.28,52,51,20,10,6,12,42.17,89,61,36.46,8.95,45.56,7.15,7.05
5939805,9.42,19.55,24.92,54,52,23,9,4,10,51.43,84.1,67.1,38.76,9.43,48.18,7.58,7.44
5939806,9.2,20.15,26.06,51,51,20,10,6,12,68.06,88.9,61.09,36.46,8.97,45.66,7.15,7.05
5939807,9.47,19.7,23.33,58,56,24,8,4,12,45.01,82.5,74.11,38.6,9.41,48.08,7.55,7.42
5939808,9.27,20.26,23.64,56,56,19,11,6,12,41.51,87.2,55.58,36.48,8.95,45.75,7.14,7.07
5939811,9.25,20.23,23.6,56,56,19,11,6,12,41.51,87.1,55.58,36.47,8.95,45.72,7.14,7.07
5941005,8.43,20.11,19.12,63,46,24,9,5,19,39.91,88.4,66.2,33.5,8.21,41.94,6.56,6.58
5941009,10.16,23.46,25.92,56,50,19,8,4,17,65.27,81.1,74.11,33.15,8.48,43.31,6.49,6.45
5941010,10.06,23.3,25.66,56,49,18,8,4,17,61.97,81.6,74.33,33.1,8.45,43.16,6.48,6.49
5941012,10.23,23.52,26.1,56,51,20,8,4,17,66.05,80.2,74.11,33.26,8.51,43.49,6.51,6.48
5941013,9.08,20.55,18.01,72,61,19,12,5,19,33.3,84.7,49.46,35.1,8.65,44.18,6.87,6.91
5941014,9.34,21.84,23,58,49,22,8,4,18,60.96,79.5,74.22,33.43,8.37,42.76,6.54,6.57
5941015,8.63,20.45,20.21,61,49,25,8,5,19,41.66,89.5,74,33.56,8.26,42.19,6.57,6.62
5941016,8.26,19.65,19.66,60,52,23,9,5,19,36.87,90.1,66.3,33.77,8.22,42.03,6.61,6.65
5941017,8.38,19.81,20.64,58,50,24,8,4,19,36.9,83.6,74.11,33.92,8.28,42.3,6.64,6.62
5941019,8.98,20.43,17.57,73,60,20,11,5,19,33.89,84.6,53.92,34.96,8.6,43.93,6.84,6.87
5941021,9.26,20.91,18.63,71,59,19,11,5,19,34.15,85.4,53.92,35.03,8.67,44.28,6.85,6.91
5941025,5.04,12.83,12.64,57,40,12,9,3,20,29.38,57.8,66.6,34.25,7.69,39.3,6.7,6.79
5941026,7.93,18.6,15.96,71,53,19,12,4,19,28.18,76.2,50,34.7,8.34,42.64,6.79,6.87
5941027,9.1,20.8,19.11,68,53,20,9,4,19,38.97,78.7,65.4,34.65,8.56,43.75,6.78,6.84
5941039,6.53,16.06,17.93,52,45,14,8,3,12,34.82,72.2,74.78,34.09,7.95,40.62,6.67,6.64
5941041,9.18,21.52,24.29,54,48,18,8,4,11,53.45,79.2,75.11,33.48,8.35,42.67,6.55,6.54
5941801,10.26,23.36,29.92,49,47,19,8,4,17,60.15,82,74.56,33.68,8.6,43.94,6.59,6.46
5941802,8.29,19.67,20.07,59,47,22,8,5,19,42.4,90.4,73.78,33.85,8.25,42.14,6.62,6.63
5941805,10.02,23.35,25.8,56,46,18,8,4,17,64.24,82.7,74.33,32.9,8.43,42.93,6.45,6.41
5941806,9.16,21.62,22.19,59,48,25,8,5,11,51.23,87.2,74.78,33.22,8.29,42.39,6.5,6.48
5941807,9.18,21.2,23.01,57,50,26,8,4,18,44.01,75.1,74.11,34.12,8.47,43.3,6.68,6.58
5941808,6.56,15.66,17.05,55,45,16,8,2,14,38.2,54.3,74.44,35.36,8.2,41.92,6.92,6.89
5941809,9.07,20.57,17.5,74,58,20,12,5,19,32.7,84.4,49.46,35.02,8.63,44.08,6.85,6.89
5941810,10.18,23.56,25.74,57,49,17,8,5,17,56.39,89.3,74.33,33.03,8.49,43.2,6.48,6.45
5941811,9.97,23.03,23.74,60,51,24,8,4,18,66.78,77.8,74,33.32,8.47,43.29,6.52,6.47
5941812,10.27,23.71,24.06,61,48,19,9,4,17,68.15,80.4,66.5,33.07,8.48,43.34,6.47,6.43
5941813,8.6,20.44,20.47,60,50,23,9,5,19,39.46,90.5,66.3,33.47,8.23,42.06,6.55,6.58
5941821,10.04,23.5,26.25,55,52,18,8,4,12,59.5,81.5,74.89,32.69,8.39,42.73,6.41,6.29
5941828,5.33,13.26,15.54,49,38,12,7,2,14,34.04,56.9,85.62,34.86,7.87,40.19,6.82,6.85
5941829,5.92,14.41,16.58,51,39,12,7,2,14,37.75,55.7,84.75,35.16,8.04,41.07,6.88,6.87
5941831,6.6,15.75,16.55,57,47,16,8,2,14,37.95,52.5,74.33,35.33,8.21,41.94,6.91,6.88
5941833,10.07,23.06,22.84,63,52,28,8,4,19,46.67,74.8,73.33,33.62,8.55,43.69,6.58,6.58
5941837,9.24,21.49,22.36,59,50,25,8,4,14,36.62,75.8,74,33.74,8.41,42.97,6.6,6.6
5941839,7.28,17.49,20.39,51,44,15,8,4,12,44.83,80.5,74.89,34.35,8.15,41.63,6.72,6.54
5941840,7.27,18.14,18.89,55,45,19,7,3,12,37.25,69.5,84.62,32.81,7.87,40.08,6.44,6.45
5941841,10.22,23.86,26.25,56,51,19,8,4,10,60.37,81.8,75.11,32.6,8.41,42.82,6.39,6.28
5941849,10.46,23.9,28.4,53,51,18,8,4,17,64.62,83.4,74.44,33.3,8.59,43.75,6.53,6.38
5941850,10.5,24.05,27.99,54,52,18,8,4,17,63.73,83,74.44,33.16,8.57,43.66,6.5,6.37
5941851,6.9,17.38,18.26,54,42,15,7,3,12,34.34,74.1,84.62,32.81,7.8,39.72,6.45,6.44
5941852,9.67,22.15,23.02,60,54,25,8,4,19,35.29,78.6,73.56,33.98,8.54,43.65,6.65,6.67
5941855,8.91,20.95,20.86,61,49,22,8,5,19,59.78,90.3,74,33.61,8.32,42.51,6.58,6.6
5941868,9.83,22.8,22.65,62,54,23,8,4,19,65.96,76.9,73.89,33.28,8.44,43.11,6.51,6.46
5941871,6.87,17.31,17.84,55,44,16,8,3,12,34.22,72.3,74.78,32.8,7.79,39.66,6.44,6.45
5941872,9.72,22.6,22.76,61,53,23,8,3,19,66.24,64.2,73.89,33.29,8.42,43.01,6.51,6.47
5941873,9.72,22.6,22.76,61,53,23,8,3,19,66.24,64.2,73.89,33.29,8.42,43.01,6.51,6.47
5941876,6.63,15.81,16.33,58,44,16,10,2,14,41.21,53.2,60.82,35.29,8.2,41.92,6.91,6.88
5941879,7.49,17.92,20.59,52,43,17,8,4,14,47.19,81,74.56,34.32,8.18,41.81,6.72,6.52
5941880,7.14,17.88,18.54,55,45,19,8,3,12,35.69,69.5,74.78,32.79,7.84,39.93,6.44,6.43
5941882,9.79,22.6,24.1,58,50,19,9,4,17,56.24,80.4,66.8,33.52,8.47,43.3,6.56,6.57
5941883,9.3,22.03,25.23,53,52,18,8,4,12,57.32,81,74.89,32.91,8.29,42.21,6.45,6.31
5941884,5.34,13.27,15.9,48,39,12,7,2,12,34.54,58.1,85.88,34.91,7.88,40.25,6.83,6.86
5941885,9.74,22.66,22.45,62,54,23,8,3,19,66.32,64.2,73.89,33.25,8.41,42.99,6.51,6.45
5943008,1.52,4,8.34,26,16,3,7,1,8,32.47,29.9,87.62,36.42,7.42,37.94,7.13,7.06
5943012,1.44,3.81,8.25,25,15,3,7,1,6,34.19,33.2,88,36.43,7.41,37.87,7.13,7.08
5943017,1.87,5.09,7.85,34,19,2,9,1,6,24.07,36.1,69.5,34.86,7.19,36.73,6.82,6.68
5943023,1.87,5.1,7.87,34,17,2,8,1,6,23.98,35.8,77.44,34.85,7.19,36.73,6.82,6.68
5943027,1.86,4.94,6.82,39,14,3,9,1,7,27.05,30.5,68.7,35.85,7.38,37.71,7.01,6.86
5943031,1.64,4.38,7.8,30,15,2,9,1,6,37.92,32.4,69.9,35.76,7.32,37.4,7,6.92
5943033,1.75,4.73,9.25,27,17,3,7,1,6,38.55,30.9,87.75,35.21,7.23,36.95,6.89,6.81
5943037,1.53,4.04,8.09,27,15,3,7,1,8,33.93,31.1,87.5,36.37,7.42,37.9,7.12,7.05
5943804,1.91,5.19,7.78,35,17,2,9,1,6,22.92,33.7,69.5,34.86,7.2,36.77,6.82,6.68
5943806,1.91,5.2,8.03,34,15,2,8,1,6,25.57,37.5,77.44,34.84,7.19,36.75,6.82,6.68
5943807,1.61,4.23,7.91,29,15,3,7,1,6,34.07,29.7,87.75,36.33,7.42,37.94,7.11,7.03
5943808,1.53,4.03,8.72,25,15,3,5,1,6,36.97,33.9,118.33,36.38,7.42,37.91,7.12,7.03
5943813,2.23,5.97,8.85,36,20,3,8,1,6,19.22,33.6,77,35.14,7.31,37.37,6.88,6.82
5943815,1.91,5.19,7.78,35,17,2,9,1,6,22.92,33.7,69.5,34.86,7.2,36.77,6.82,6.68
5943816,1.95,5.31,7.53,37,19,2,9,1,6,25.37,36.4,69.2,34.79,7.19,36.74,6.81,6.67
5943837,1.52,4,8.34,26,16,3,7,1,8,32.66,30.1,87.62,36.4,7.42,37.92,7.12,7.05
5945006,2.47,6.65,8.6,41,23,5,10,1,12,14.82,29.4,61.91,34.65,7.26,37.12,6.78,6.73
5945010,4.85,12.58,13.6,51,35,12,9,2,12,30.09,54,67.1,33.73,7.55,38.58,6.6,6.58
5945012,4.27,11.09,12.97,47,31,9,10,2,12,28.16,57.6,61.36,34.2,7.53,38.46,6.69,6.65
5945014,4.06,10.61,12.33,47,31,9,10,2,12,26.65,58.2,61.45,34.17,7.48,38.23,6.69,6.66
5945801,1.31,3.57,5.86,32,13,2,8,0,9,10.81,0,76.67,35.5,7.2,36.82,6.95,6.78
5945802,4.06,10.62,12.61,46,32,9,10,1,12,27.14,32.7,61.45,34.2,7.49,38.26,6.69,6.65
5945803,1.84,5.06,7.52,35,21,2,10,1,6,14.47,27.5,62.82,34.57,7.13,36.41,6.77,6.67
